year,season,breeding_code,observations,percentage_of_season,rank,source_file,period,analysis_period,decade,breeding_success_indicator,territorial_behavior
2009,Spring,C,1,100.0,1,baseline_2005_2009.csv,2005_2009,Early_eBird_2005_2009,2000,False,True
2009,Summer,ON,1,100.0,1,baseline_2005_2009.csv,2005_2009,Early_eBird_2005_2009,2000,True,False
2011,Spring,C,2,50.0,1,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,False,True
2011,Spring,NE,1,25.0,2,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,True,False
2011,Spring,NY,1,25.0,3,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,True,False
2011,Summer,C,2,50.0,1,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,False,True
2011,Summer,FL,1,25.0,2,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,True,False
2011,Summer,NY,1,25.0,3,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,True,False
2011,Fall,NY,1,100.0,1,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,True,False
2012,Spring,C,2,50.0,1,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,False,True
2012,Spring,NE,1,25.0,2,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,True,False
2012,Spring,ON,1,25.0,3,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,True,False
2013,Spring,C,1,50.0,1,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,False,True
2013,Spring,T,1,50.0,2,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,False,True
2013,Winter,C,1,100.0,1,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,False,True
2014,Spring,NB,3,60.0,1,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,False,False
2014,Spring,NE,1,20.0,2,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,True,False
2014,Spring,NY,1,20.0,3,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,True,False
2014,Summer,T,8,44.4,1,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,False,True
